,Job Type,Job Experience,Position,Vacancy Count,Company,Location,Industries,Job Title,Job Requirement,Job Salary,Skills,Date Created,Job Posting Link,Job Id,Language,Career Level,Salary Min,Salary Max
1616,Full-time,4 to 7 years,Web Development,1.0,PT. Rekruter Digital Indonesia,"Jakarta, Indonesia",Human Resources,Programmer for Digital Commerce,"Minimum 4 years of experience as a programmer
Proficient in using PHP(v8.0.16), MySQL (v10.5.15-MariaDB-cll-lve), and API
Min. 35 Year
Solid understanding in Content Management System such as Wordpress and WooCommerce
Willing to be placed in our client's company in Kuningan, Jakarta Selatan", 10000000 – 12000000,"Web Development, APIs, PHP, MySQL, WordPress, Programming",2022-03-16,https://www.techinasia.com/jobs/d3845bdc-c07c-4547-88af-7cc27876312e,4349451628,en,Middle Level,10000000.0,12000000.0
1617,Full-time,4 to 7 years,Graphic & Motion Design,1.0,PT Merah Cipta Media,"Jakarta, Indonesia",Technology,Art Director (for SAC Indonesia),"Expert in digital design capabilities
Have knowledge of graphic design, typography
Have working experience minimal 2-3 years as Art Director or 4-5 years as Graphic Designer
Have the ability to think creatively and deliver innovative concepts
Creative and can-do attitude", 10000000 – 14000000,"Adobe Illustrator, Graphic Design, Art Direction, Adobe Photoshop",2022-03-16,https://www.techinasia.com/jobs/302662c4-c18c-419d-b4ed-c51935327bfe,2184429039,en,Middle Level,10000000.0,14000000.0
1618,Full-time,4 to 7 years,Enterprise Software & Systems,1.0,JAC Recruitment Indonesia,"Indonesia Bulk Terminal, Indonesia",Human Resources,ERP Project Manager,No Description, 25000000 – 30000000,"Oracle, SAP, Enterprise Software",2022-03-16,https://www.techinasia.com/jobs/ac7bfaed-be31-468f-a289-99905be04ab4,5881171280,en,Middle Level,25000000.0,30000000.0
1619,Full-time,4 to 7 years,Web Development,2.0,Style Theory,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",Web Engineer (Frontend),"Work in Scrum software development process to develop and maintain external and internal websites using latest web technologies
Work closely with our product managers, designers and other software developers to improve Style Theory experience for Web platform
Analyse and optimise application code for efficiency and performance
Work with open source software tools and third party libraries", 0 – 0,"React.js, Javascript, HTML5  CSS3, Web Development, AngularJS, Front-end Development, Vue.js, Angular, Node.js, Unit Testing",2022-03-16,https://www.techinasia.com/jobs/1e4e1cc9-c3fd-45b4-b700-79fdaf821be0,8769582869,en,Middle Level,0.0,0.0
1620,Full-time,4 to 7 years,QA & Testing,1.0,Style Theory,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",QA Engineer,"Responsible for e2e test and release of new features with the best quality possible.
Understand the product/feature in-depth from the end-user point of view and also the underlying implementation.
Working closely with the Product Manager, Front-end, and Backend developers to understand the feature and the implementation to derive and execute feature tests and impacted feature test cases. 
Debug failed test cases by analyzing logs and API responses, queries database, and report bugs with details. Follow-up on bugs to closure.
Execute & maintain UI (Web, Mobile app) and API automation suites. Debug and correct script and data issues in automation suites.
Understand automation framework and add automation test cases for the new features and regression test cases", 0 – 0,"Agile, Selenium, Software Testing, Jira, Git",2022-03-16,https://www.techinasia.com/jobs/09815c96-f027-4dfa-94d8-11f627a8e78d,8769582869,en,Middle Level,0.0,0.0
1621,Contract,4 to 7 years,Project & Product Management,2.0,Indocyber Global Teknologi,"Jakarta, Indonesia",Technology,IT Business Analyst (Insurance),"Analyzing business structures, systems and processes, as well as reviewing references and other related supporting documents
Provide proposed solutions to improve the performance of a business process
Prioritizing initiatives based on business needs and requirements.
Establishing communication and providing support to other work units in order to achieve effective cross-division cooperation
Perform ad-hoc tasks requested by the supervisor
Coordinate internal resources and third parties/vendors for the execution of projects, report and escalate as needed.", 0 – 0,"Product Research, Product Strategy, Business Analysis, Product Development, System Design",2022-03-15,https://www.techinasia.com/jobs/12c59af9-4fb6-4a13-872e-687fcbbfdf4f,3025049499,en,Middle Level,0.0,0.0
1622,Full-time,4 to 7 years,UX/UI Design,1.0,Flock,"Jakarta, Indonesia",Digital Media & Marketing,Sr. UI Designer,"Have Impeccable Taste: You’re a very good designer with great taste. (But you’re not an asshole about it.)
Are Solution Oriented: You know damn well that design is about people and solutions, not only how it looks,
Modern Design Practitioner: You know all about design, tools and methodologies to create solutions for design problems. E.g. you love Figma, Sketch and the Adobe Creative Suite. And have an interest and ideally been experimenting with Figma or even Framer.
Fun: You love working with the team and clients, and they love you right back.
Make things happen: You can take what is sometimes only an imperceptible hint of an idea, and with your team nudge and wrench it into a beautiful existence.
T-Shaped: You’ve got a grasp on the technology your designs are built on, and you work well with the developers and project managers who make it happen.
Experience: You’ve spent at least 4 years at an agency, a startup or a similar organisation.
Design Thinker Leverage the design thinking process with the team to gather insight and craft innovative experiences.", 11000000 – 15000000,"UI/UX Design, User Interface (UI), Experience Design, User Interface (UI) Design, User Experience (UX), Interface Design",2022-03-15,https://www.techinasia.com/jobs/e22b0176-9ad8-4b40-8704-08d64b964838,2176043050,en,Middle Level,11000000.0,15000000.0
1623,Full-time,4 to 7 years,Web Development,1.0,Andalin,"Jakarta, Indonesia",Logistics,Senior Back-end (Jakarta),"Integration of user-facing elements developed by front-end developers with server-side logic.
Write clean, well-designed codes, using MVC/MVP/MVVM, etc and design patterns.
Implementation of security and data protection.
Troubleshoot and solve various website issues and coding problems.
Build reusable code and libraries for future use.
Continuously improve your programming skills.", 12000000 – 19000000,"Node.js, MongoDB, MySQL, Javascript",2022-03-15,https://www.techinasia.com/jobs/957e29b9-d94b-4692-a24f-08d89aff6cce,6421982363,en,Middle Level,12000000.0,19000000.0
1624,Full-time,4 to 7 years,Community Management,1.0,RateS,"Indonesia Bulk Terminal, Indonesia",Marketplaces,Senior Community Manager,"Develop community engagement strategies to help our resellers achieve more sales 
Maintain good relationships and utilize seller community to meet objectives
Managing all touchpoints, monitoring issues, conversations within the community, and working with internal stakeholders to increase engagement
Ensure consistency when delivering the message to our resellers through community
Responsible for tracking and measure engagement as well as growth
Resolve issues, maintain a good image of the company in the community
Identify emerging trends in the local market through market surveys and working together with our resellers", 8000000 – 15000000,"Marketing Strategy, Community Management, Marketing Management, Marketing Communications",2022-03-15,https://www.techinasia.com/jobs/4c2c5462-caa6-4acd-b94c-e093852d4fff,7972823525,en,Middle Level,8000000.0,15000000.0
1625,Full-time,4 to 7 years,Project & Product Management,1.0,Kargo Technologies,"Jakarta, Indonesia",Logistics,Lead Product Manager (Last Mile),No Description, 16000000 – 24000000,"Team Leadership, Leadership, Product Strategy, Product Management, Analytical Skills, Communication Skills",2022-03-15,https://www.techinasia.com/jobs/b46a6c3f-e8b3-4a63-8e38-0980447dfd02,555949161,en,Middle Level,16000000.0,24000000.0
1626,Contract,4 to 7 years,Customer Service,1.0,Tunaiku,"Jakarta, Indonesia",Technology,Customer Experience Supervisor,"Responsible for all smooth operations of Field Coordinator & Customer Experience in the field and implementation
Responsible for and assisting in managing Field Coordinator & Customer Experience performance matters, starting from regulations, company policies, incentives, and remuneration (remuneration) which are guided by the Standard Operational Procedure applicable to the Retail CE team, as well as policies that have been set by management.
Achieving the targets that have been determined by company policy
Carry out work assignments and conduct periodic performance assessments and reviews (daily, weekly & monthly)
Monitor the smooth and accurate execution of work from the Field Coordinator & Customer Experience  units in the field
Make sure the accuracy of Field Coordinator & Customer Experience  performance database information
Assist in supervising, checking the accuracy, and checking reports related to FC & CE", 0 – 0,"Customer Experience, Customer Service, Customer Development",2022-03-15,https://www.techinasia.com/jobs/5d415120-1ff6-4590-8763-808e3ee87643,4567081539,en,Middle Level,0.0,0.0
1627,Full-time,4 to 7 years,"Finance, Legal & Accounting",1.0,PT Pintu Kemana Saja (Pintu),"Jakarta, Indonesia",Business & Finance,Government Relations Officer,"Junior-Mid level government stakeholders’ engagement manager including, but not limited to, communication of any initiatives to be launched by Pintu Group;
Execute brand campaign towards government stakeholders
Proactively work in close collaboration with other Pintu Group team members in providing information as requested by regulators;
Coordinate the compliance team in identifying customers categorized as politically exposed person 
Build and maintain strong relationships with various government agencies for long term engagement
Provide counsel, clarification and guidance of any governmental affairs;
Apply risk management and offer proactive advice on any possible governmental affairs issues.", 0 – 0,"Legal, Compliance, Management",2022-03-15,https://www.techinasia.com/jobs/ffe8d29f-5150-4bf0-9362-e969feda2a92,4245731609,en,Middle Level,0.0,0.0
1628,Full-time,4 to 7 years,"Finance, Legal & Accounting",1.0,PT Pintu Kemana Saja (Pintu),"Jakarta, Indonesia",Business & Finance,Compliance Officer,"Implement Pintu group compliance strategy;
Conduct compliance due diligence and KYC, EDD, KYT requirements including tech, regulatory and internal policy;
Regulatory compliance including, among others, Bappebti reports (daily, monthly, quarterly, and annual), ISO certification requirements, and any other licensing related updates, e.g. LKPM and WLKP; 
Review KYC documents required for onboarding;
Coordinate with relevant offshore corporate secretaries for any legal documentations on offshore subsidiaries. 
Stay up to date with compliance requirements for financial institutions applicable domestically and internationally including, among others, PPATK, FATF, OFAC sanctions list, UN sanctions list and US Treasury sanctions list.
Train and educate Pintu group team member on any compliance guidelines
Conduct regular assessments to determine whether policies are compliant with applicable regulations", 0 – 0,"Compliance, Legal, Strategy",2022-03-15,https://www.techinasia.com/jobs/501565c1-998b-444a-9ddd-8e28edd2cbe4,4245731609,en,Middle Level,0.0,0.0
1629,Full-time,4 to 7 years,Sales & Business Development,1.0,Advotics,"Jakarta, Indonesia",Technology,Business Development Executive,No Description, 0 – 0,"Sales, Business Development, Communication Skills, Sales  Marketing",2022-03-15,https://www.techinasia.com/jobs/f6100130-53bc-477e-94be-aea25674fba4,5118067516,en,Middle Level,0.0,0.0
1630,Full-time,4 to 7 years,Media & Journalism,1.0,Somethinc - Beautyhaul,"Jakarta, Indonesia",Marketplaces,Senior Copywriter,"Create catchy and persuasive copywriting for social media and other  in Bahasa and in English
Do research to create interesting copywriting
Collaborate with creative team to create the copywriting plan", 0 – 0,"Writing, Content Marketing, Copywriting  Editing, Creative Writing, Copywriting",2022-03-15,https://www.techinasia.com/jobs/f0daf9ca-951a-4c7f-8ee9-f56be1c05dfd,6460382483,en,Middle Level,0.0,0.0
1631,Full-time,4 to 7 years,Web Development,1.0,Tunaiku,"Surabaya, Indonesia",Technology,Senior IT Operation - Reporting (Surabaya),"Creating an Internal Reporting Application related to the regulator
Creating study of the new Reporting Application from the regulator in accordance with the applicable regulation", 0 – 0,"Android, HTML, Java, PHP, SQL, Microsoft Excel",2022-03-14,https://www.techinasia.com/jobs/827fb3b1-000d-439b-b74e-096273d18fb1,4567081539,en,Middle Level,0.0,0.0
1632,Full-time,4 to 7 years,"Finance, Legal & Accounting",1.0,GTech Digital Asia,"Jakarta, Indonesia",Marketplaces,Asst Finance Manager,"Monthly sales summary & sales confirmation
Create invoice & journal in BAS
Check supplier invoice & journal in BAS
Create payment voucher (cheque / i-banking) for vendors & SBU and journal in BAS
Create payment refund for VA (i-banking) & journal in BAS
Settlement customer fund FINRECO & journal in BAS
Collect AR from SBU and Partner
Create Receipt Voucher for SBU and Partner payment.", 0 – 0,"Corporate Finance, Accounting, Accounts Payable",2022-03-14,https://www.techinasia.com/jobs/e9c8c5df-8e95-4f38-b094-ef91b7d276f7,3965950953,en,Middle Level,0.0,0.0
1633,Full-time,4 to 7 years,Project & Product Management,1.0,Tunaiku,"Jakarta, Indonesia",Technology,Anti Fraud E-Banking,"Design & Implement a technology-and-data-based anti-fraud system for Amar Bank's digital liabilities product. Scope of fraud includes external fraud (account takeovers, stolen devices, call center fraud) and internal fraud. 
Prepare & Evaluate metrics on the Anti-fraud system. 
Lead investigation effort for known fraud and improve the system for future prevention.", 0 – 0,"Project Management, Project Leader, Metrics",2022-03-14,https://www.techinasia.com/jobs/09460634-53ec-4539-870f-03e8243e5ee0,4567081539,en,Middle Level,0.0,0.0
1634,Full-time,4 to 7 years,Web Development,3.0,DataOn Corp,"Jakarta, Indonesia",Technology,Senior Fullstack Developer (Angular & .NET Core),"Minimum 5 years of experience using Angular and .NET Core framework;
Expert with building robust, fast, secure, testable and maintainable web applications and RESTful or SOAP-based web services;
Very good experience with application security threat modelling on application and infrastructure level;
Experience with relational database management systems, data modelling and data structures. Preferably SQL Server and Oracle RDBMS;
Experience with database tuning as well as query tuning;
Experience with integration of systems using different technologies;
Data caching strategies and their implementation;
Experience with building the containers (eg. Docker) for serving backend apps;
Creating self-contained, reusable and testable modules and components;
Fluent communication skills in English.", 15000000 – 35000000,"SQL Server, .NET, Angular",2022-03-14,https://www.techinasia.com/jobs/7447e016-cb46-4f0b-9ed4-d9c6ece734e5,427211781,en,Middle Level,15000000.0,35000000.0
1635,Full-time,4 to 7 years,Human Resources,1.0,Hangry,"Jakarta, Indonesia",Hospitality,Training & Development Manager (Hangry Academy),"Create and execute learning strategies, programs, and objectives for training development in the F&B business.
Evaluate individual and organizational development needs and formulate training and development program based on analysis.
Implement various learning methods company-wide (e.g. coaching, job-shadowing, online training)
Design e-learning & in-person courses (curriculum), workshops and other trainings
Administers spending against the departmental budget.
Trains and coaches trainers, store managers, supervisors in employee development efforts.
Plans, organizes, facilitates and orders supplies for employee development and training events.
Conducts follow-up studies of all completed training to evaluate and measure results.
Modifies programs as needed.
Exemplifies the desired culture and philosophies of the organization through training.
Works effectively as a team leader with other members of Hangry Academy
Assess the success of development plans and help employees make the most of their learning opportunities
Designing a solid career learning plan in Outlet level", 16000000 – 24000000,"People Management, Training, Communication Skills",2022-03-14,https://www.techinasia.com/jobs/7101a1bf-10a5-4aef-b824-1e4c8546cb3a,4581603427,en,Middle Level,16000000.0,24000000.0
1636,Full-time,4 to 7 years,Marketing & PR,1.0,kumparan.com,"Jakarta, Indonesia",Technology,Brand Communication Manager,"Responsible for leading the brand communications team in continually enhancing a particular brand image & increasing brand awareness.
Monitoring the delivery of the brand direction and recommending areas of improvement.
Responsible for creating and implementing a long-term communication strategy", 10000000 – 15000000,"Marketing Strategy, Event Management, Event Planning, Events, Marketing Communications, Project Management",2022-03-14,https://www.techinasia.com/jobs/40a207cf-9946-4904-81a3-02d51e8824fb,225789813,en,Middle Level,10000000.0,15000000.0
1637,Full-time,4 to 7 years,"Finance, Legal & Accounting",1.0,KoinWorks,"Jakarta, Indonesia",Technology,Senior Accountant,"Ensure accounting processes are properly executed and assist process improvement when necessary
Identify, analyze and resolve low complexity accounting issues independently
Review accounting numbers and ensure posted journal entries are complete, accurate and reconciled to the source of data and/or underlying documents
Review a detailed list of financial statements items and ensure they are tallied with trial balance
Perform and review financial closing activities
Participate in the ongoing development/establishment of accounting policies and procedures and operational strategies including the review and implementation of process and system changes
Validate all the proposed entries for all new products development and ensure full cycles activities has been captured properly and timely in the system
Liaise with external auditors to ensure successful audit results and compliance", 0 – 0,"Accounting, Oracle, Financial Analysis",2022-03-14,https://www.techinasia.com/jobs/074daa01-2cb8-4261-9c0f-547755d15a43,5884363254,en,Middle Level,0.0,0.0
1638,Full-time,4 to 7 years,Mobile Development,2.0,Geekz,"Jakarta, Indonesia",Technology,.Net Developer - Middle to Senior - Hybrid,No Description, 10000000 – 20000000,"C#, ASP.NET, .NET, SQL Server, Troubleshooting, Coding, Debugging, Technical Support",2022-03-14,https://www.techinasia.com/jobs/18bb7fc4-d3b9-4552-b20b-ecb89e2b023e,7177473029,en,Middle Level,10000000.0,20000000.0
1639,Full-time,4 to 7 years,QA & Testing,1.0,AiChat,"Jakarta, Indonesia",Technology,QA Lead,Dynamic and fun working cultureOpen conceptStarts work at 10am, 15000000 – 19500000,"QA, Test Automation, Test Cases, A/B Testing, Functional Testing, Penetration Testing, Unit Testing",2022-03-14,https://www.techinasia.com/jobs/293378cd-0aae-4209-b017-a088476ff1af,4643183390,en,Middle Level,15000000.0,19500000.0
1640,Full-time,4 to 7 years,Project & Product Management,2.0,AiChat,"Jakarta, Indonesia",Technology,Product Manager,"Identify, analyze and prioritize new features based on business and customer impact by working with business stakeholders.
Assist in defining the short term roadmap, prioritise features and assist in driving stakeholder alignment.
Perform product discovery through research, customer voice, prototyping, storytelling and solve for customer value, managing technical and business risk.
Define and communicate product requirements and functional specifications by thinking creatively and rigorously about how to solve unexplored customers problems.
Design user flows and concepts for our B2B platform, detailing scenarios that have impact to business
Lead the product development life cycle with engineering and QA and delivery the features in a timely manner
Perform quantitative and qualitative data collection from customers and business stakeholders
Measure the impact of the product features and propose recommendations", 16000000 – 22000000,"Product Design, Product Development, Product Management, UI/UX Design, User Experience (UX), Prototype",2022-03-14,https://www.techinasia.com/jobs/ea403aaf-fb6b-46db-ab89-8dd9b7fdec1c,4643183390,en,Middle Level,16000000.0,22000000.0
1641,Full-time,4 to 7 years,Web Development,2.0,AiChat,"Jakarta, Indonesia",Technology,Senior Backend Developer,Dynamic and fun working cultureOpen conceptStarts work at 10am, 15000000 – 20000000,"Laravel, Node.js, React.js, HTML5  CSS3",2022-03-14,https://www.techinasia.com/jobs/3a40538e-f5a6-4520-a7fa-429f9f197a43,4643183390,en,Middle Level,15000000.0,20000000.0
1642,Full-time,4 to 7 years,Human Resources,1.0,Bina Nusantara Group,"Jakarta, Indonesia",Education,Talent Acquisition Coordinator,"Min. Bachelor Degree from relevant background. 
Min. 5 years of experience in Recruitment or Human Resources similar area. 
Have a good communication and negotiation skills. 
Excellent verbal and written in English.
Eager to learn
Willing to be placed in Jakarta Barat.", 0 – 0,"Human Resources, Leadership, Talent Acquisition, Marketing Management",2022-03-12,https://www.techinasia.com/jobs/178b5987-51c2-4113-8e6c-8f0949c30259,2956574054,en,Middle Level,0.0,0.0
1643,Full-time,4 to 7 years,UX/UI Design,1.0,PT Erajaya Swasembada Tbk.,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",UI/UX Designer,No Description, 1,"UI/UX Design, Wireframing, HTML",2022-03-11,https://www.techinasia.com/jobs/b7a7e597-7423-4f65-9aa1-bbf0b223c989,7552522066,en,Middle Level,1.0,
1644,Full-time,4 to 7 years,"Finance, Legal & Accounting",1.0,Berkah Venture,"Jakarta, Indonesia",Technology,Investment Analyst,No Description, 15000000 – 25000000,"Investment Banking, Financial Modelling  Valuation, Venture Capital, Financial Analysis, Analytics  Reporting",2022-03-11,https://www.techinasia.com/jobs/12722912-f07d-4719-a312-dcca9440b27e,275526284,en,Middle Level,15000000.0,25000000.0
1645,Contract,4 to 7 years,Web Development,1.0,SIGMATECH,"Jakarta, Indonesia",Technology,Site Reliability Engineer (DevOps) - Finance Industry,No Description, 10000000 – 25000000,"DevOps, Jenkins, Git",2022-03-11,https://www.techinasia.com/jobs/fdcb58aa-36dc-4e03-8a5a-a75f0a0f9eae,2611213220,en,Middle Level,10000000.0,25000000.0
1646,Full-time,4 to 7 years,Human Resources,1.0,PT Wahana Semesta Ilmu,"Jakarta, Indonesia",Business & Finance,Learning & Development Manager,"We offer a unique learning method that helps people succeed in learning the English language, which opens a whole world of both personal and professional opportunities.
Wall Street English is a fun, dynamic, experienced, hard-working and friendly working environment that exceeds Members expectations everyday. Our commitment to quality services and support continues to propel our growth and success.
We are a premier provider of motivated and highly trained consultants and professional personnel who have the unique skills and expertise necessary to help our Members meet their individual and business goals in a cost effective manner.", 15000000 – 20000000,"Training, Planning, Presentation Skills, Communication Skills",2022-03-11,https://www.techinasia.com/jobs/977a2b4e-919e-476b-a2ed-533077b18110,5318320896,en,Middle Level,15000000.0,20000000.0
1647,Full-time,4 to 7 years,Marketing & PR,1.0,MTARGET,"Jakarta, Indonesia",Technology,Performance Marketing Specialist,No Description, 7000000 – 9000000,"Business Development  Partnerships, Marketing Strategy, Sales Strategy  Management, Business Analysis, Digital Marketing",2022-03-11,https://www.techinasia.com/jobs/94d76089-4a9e-4ad0-a010-63337f3b4147,1153080911,en,Middle Level,7000000.0,9000000.0
1648,Full-time,4 to 7 years,Retail & Wholesale,1.0,Hypefast,"Jakarta, Indonesia",Marketplaces,Warehouse Supervisor,"Male
Minimum 4 years experience in the same position/field
Experience in handling B2B and or B2C warehouse
Able to manage small team", 0 – 0,"Management, Data Warehouse, Retail Management",2022-03-10,https://www.techinasia.com/jobs/0873b8e1-8b50-4199-8991-e750bba7af8d,2892029481,en,Middle Level,0.0,0.0
1649,Full-time,4 to 7 years,Retail & Wholesale,1.0,Hypefast,"Jakarta, Indonesia",Marketplaces,Warehouse Officer,"Supervise the activities of workers engaged in receiving, storing, testing, and shipping products or materials.
Plan, develop, or implement warehouse safety and security programs and activities.
Inspect physical conditions of warehouses, or equipment and order testing, maintenance, repairs, or replacements.
Plan, organize or manage the work of subordinate staff to ensure that the work is accomplished in a manner consistent with organizational requirements.
Collaborate with other departments to integrate logistics with business systems or processes, such as customer sales, order management, accounting, or shipping.", 0 – 0,"Attention to Detail, Sales Support, Communication Skills",2022-03-10,https://www.techinasia.com/jobs/894ad4bc-d243-4fce-bd66-1dd1c595efd4,2892029481,en,Middle Level,0.0,0.0
1650,Contract,4 to 7 years,Project & Product Management,3.0,PT Xapiens Teknologi Indonesia,"Tangerang, Indonesia",Technology,IT Business Analyst,"Min. Bachelor Degree 
Min 4 Full cycle Project As Senior BA or PM 
Experience in ERP, WMS, and Custom 
Experienced and familiar with Agile, Waterfall Project Management  
Plus point if have experience on mining, logistic, manufacture business case  
English Spoken and Written is a MUST 
Willing working onsite 
Technical competencies: SDLC, Office, Project Management, Blueprint, Function Spec, Testing, Training, Data Migration, Familiar infrastructure, On-prem, Cloud, Database.", 0 – 0,"Software Development, Agile Project Management, Project Management, Presentation Skills, Public Speaking  Presentations, Consulting, Product Development",2022-03-10,https://www.techinasia.com/jobs/7c5feacf-56d5-40a8-8e74-b5c2c8973bd8,6886304206,en,Middle Level,0.0,0.0
1651,Full-time,4 to 7 years,Sales & Business Development,1.0,Aruna,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",International Sales Manager,"Manage international sales strategies for developing and achieving the company’s sales goals
Expand the relationships with existing customers by continuously proposing solutions that meet their objectives
Ensure the correct products and services are delivered to customers in a timely manner
Play an integral part in generating new sales that will turn into long-lasting relationships", 0 – 0,"Sales  Marketing, Business Development  Partnerships, Communication Skills, Marketing Strategy, Marketing Communications, Marketing, Sales Strategy  Management",2022-03-10,https://www.techinasia.com/jobs/b6fb2db7-5b8c-484e-bdb4-48d8aa5b7237,8340376782,en,Middle Level,0.0,0.0
1652,Full-time,4 to 7 years,Media & Journalism,1.0,Mekari (PT. Mid Solusi Nusantara),"Indonesia Bulk Terminal, Indonesia",Technology,Social Media Manager,"Design and implement social media strategy to align with business goals
Full ownership of the metrics and results of overall social platform that are being managed
Develop content strategy, editorial calendar, and own the content management processes (production, scheduling, distribution, and response management)
Collaborate with other stakeholders (brand team, product marketing, event, content marketing, and customer success) to ensure editorial plan in social channels are well aligned with the business needs
Establish social listening capability to quickly identify trends and providing insights to other collaborators and swiftly respond to capitalize on opportunities
Establish engaging relationship with audience through storytelling- and conversational-based approach
Work closely with creative team to constantly ideate and devise creative tactics that stood out and strongly attracting both attentions and engagement
Establish relationship with social media influencers and communities
Maintain brand guidelines across all channels and work with team members to ensure consistent brand messaging", 15000000 – 25000000,"Social Media Strategy, Social Media Marketing, Social Media",2022-03-10,https://www.techinasia.com/jobs/a008392c-0e0c-413c-90c4-1b5d1f6344aa,2196717593,en,Middle Level,15000000.0,25000000.0
1653,Full-time,4 to 7 years,Marketing & PR,1.0,OKHOME,"Jakarta, Indonesia",Customer Services,Brand & Communication Manager,No Description, 0 – 0,"Creative Writing, Content Marketing, Brand Design  Strategy, Brand Management, Branding, Content Management, Strategic Partnerships",2022-03-09,https://www.techinasia.com/jobs/7b2092ce-cf13-4218-bee2-9eb1b6dae89f,9509215400,en,Middle Level,0.0,0.0
1654,Full-time,4 to 7 years,Media & Journalism,1.0,Tech in Asia Indonesia,"Jakarta, Indonesia",Technology,Newsroom Managing Editor,"You'll edit contents, analyze trends, come up with topics, lead team of journalists, grow your network of industry contacts, and create compelling stories for Tech in Asia Indonesia audience.
You'll assist the news team by providing additional reporting.", 15000000 – 18000000,"Writing, Journalism, Copywriting  Editing, Indonesian Language, English Language",2022-03-09,https://www.techinasia.com/jobs/4a0eb1ab-fbc5-4d22-965b-fec1843f037c,4474890221,en,Middle Level,15000000.0,18000000.0
1655,Full-time,4 to 7 years,"Finance, Legal & Accounting",1.0,Hypefast,"Jakarta, Indonesia",Marketplaces,Account Payable,No Description, 0 – 0,"Accounting, Accounts Payable, Microsoft Office",2022-03-09,https://www.techinasia.com/jobs/9a4edef5-414b-4937-8fc5-a8acbd6defe1,2892029481,en,Middle Level,0.0,0.0
1656,Full-time,4 to 7 years,Hardware & Embedded Systems,1.0,Bina Nusantara Group,"Jakarta, Indonesia",Education,Associate IT Planning Specialist,"Minimum Bachelor Degree in Computer Science.
Minimal 3 years of experience in Business Analyst, System Analyst, Software/ Information System Development.
Excellent in System development lifecycle phase.
Hold BNSP Certification in one of these areas: IT Audit / ICT Project Management / App Architecture Mapper / Enterprise Architect / Supervisor IT Management Service / Other IT related Certification", 0 – 0,"Product Development, Project Management, Technology, Communication Skills",2022-03-09,https://www.techinasia.com/jobs/4babb56a-37a4-49d9-aa90-0110b287b1a0,2956574054,en,Middle Level,0.0,0.0
1657,Full-time,4 to 7 years,Data & Analytics,1.0,Raena,"Jakarta, Indonesia",Marketplaces,Digital Performance Marketing Manager,"Create a digital marketing campaign and monitor the campaign that has been executed by a digital agency. 
Create a report for a digital marketing campaign, track all performance marketing related metrics
Creating and executing a strong performance marketing strategy & execution plan.
Developing and managing digital prospecting and marketing campaigns 
Managing budgets and campaigns across all digital channels to drive strong return on investment and efficient CAC
Ensuring successful planning, execution, optimisation for key traffic KPIs via paid, organic & own media channels
Identifying and testing new channels to continue to meet or exceed established critical metrics 
Working closely with the management to share funnel conversion improvement ideas, feedback & present results.
Liaise with partnered agencies to ensure campaigns deliver target instals, cost per install and ROAS - Continually improve the campaign to create more accurate targeting on resellers - Work with graphic designer to produce high impact visuals", 15000000 – 20000000,"Digital Marketing, Marketing Strategy, Sales  Marketing",2022-03-09,https://www.techinasia.com/jobs/325fec34-750f-4297-849c-2012c9872219,8774319064,en,Middle Level,15000000.0,20000000.0
1658,Full-time,4 to 7 years,Web Development,1.0,Atmatech Global Informatika,"Yogyakarta, Indonesia",Technology,Backend Engineer,"Development knowledge with the following languages: Golang, Dart, and NodeJS
Understanding of the software development life cycle, striving to deliver good quality code and help team members to achieve the same by code reviews, knowledge sharing
Development experience in REST based web services
Knowledge in  Linux based infrastructure
Kubernetes experience is an advantage
Experience with modern Software Development practice & new IT landscape (Cloud, DevOps, Continuous Integration & Continuous Delivery) is a plus", 8000000 – 10000000,"Golang, Node.js, Linux",2022-03-09,https://www.techinasia.com/jobs/cf305aa8-ad0a-4095-9ea0-749c2e613f1e,8462432940,en,Middle Level,8000000.0,10000000.0
1659,Full-time,4 to 7 years,Logistics & Operations,1.0,Kargo Technologies,"Jakarta, Indonesia",Logistics,Routing Lead - Process Improvement,No Description, 10000000 – 16000000,"MySQL, Analytics  Reporting, Operations",2022-03-09,https://www.techinasia.com/jobs/dfe9b7fa-f3eb-4e04-9860-dc28e43770c6,555949161,en,Middle Level,10000000.0,16000000.0
1660,Full-time,4 to 7 years,Marketing & PR,1.0,Sekolah.mu,"Jakarta, Indonesia",Education,Performance Marketing Manager,No Description, 12000000 – 23000000,"Digital Marketing, Business Intelligence, Product Marketing, Marketing Strategy",2022-03-08,https://www.techinasia.com/jobs/7abc951d-516c-4fe2-8ff4-35e8404ea682,2904595271,en,Middle Level,12000000.0,23000000.0
